,Name,Price/KSH,Rating,Review
224,Generic A95X F1 2GB+16GB Amlogic S905W Quad Core Android T,"KSh 8,146",,
225,Generic 4K*2K HDMI Extender Repeater 3D HDMI Adapter Signa,"KSh 1,111",,
226,Generic OR Switch Type Usb Car Charger 3.1A Dual Usb Car Charger Car Motorcycle Type,"KSh 1,144",,
227,Generic DP To HDMI Adapter DP To HDMI Converter Ultra HD M,"KSh 1,969",,
228,Generic 3G Sdi To Hdmi Sdi To Hdmi Converter Adapter Hd Ca,"KSh 7,347",,
229,Generic OR Universal Travel Car Charger Dual USB Functional 2A Phone Charger 2A,KSh 806,,
230,Generic Earphone Earpads Ear Cushion Headset Earmuffs Leat,"KSh 1,641",,
231,Generic HDMI CABLE FBLURAY 3D DVD FPS3 HDTV XBOX  HD TV 10,"KSh 1,252",,
232,Generic   HR Heart Rate Smart Bracelet,"KSh 1,393",,
233,Generic FLg Tv Remote Control Akb69680403 Universal Wirele,"KSh 1,187",,
234,Generic Male To Hdmi Female Cable Converter Adapter FApple,KSh 958,,
235,Generic Color Finger Sponge Dauber,KSh 622,,
236,Generic 2 Packs Screw Top Replacment Fuel Bottle Cap,KSh 943,,
237,Generic NES Mini Game Machine 621 Built-in Non-repetition Games Two,"KSh 3,564",,
238,Generic Protective Cover Shell Silicone Case Pet Game Machine Cover,"KSh 1,357",,
239,Generic Aquarium Water Changer Silicone Hose Vacuum Cleaner For Fish 186cm,KSh 592,,
240,Generic   HR Heart Rate Smart Bracelet,"KSh 1,393",,
241,Generic Male To Hdmi Female Cable Converter Adapter FApple,KSh 958,,
242,Generic Color Finger Sponge Dauber,KSh 622,,
243,Generic 2 Packs Screw Top Replacment Fuel Bottle Cap,KSh 943,,
244,Generic Aquarium Water Changer Silicone Hose Vacuum Cleaner For Fish 186cm,KSh 592,,
245,MKBesign T Shirt with Hand-Drawn art of Nairobi,"KSh 1,200",,
246,Generic Water Bladder Tube Cover Hydration Tube Sleeve Insulation,"KSh 1,171",,
247,MKBesign Black TShirt with abstract acrylic painting - 'Legs Crossing 1',"KSh 1,500",,
248,Generic Water Bladder Tube Cover Hydration Tube Sleeve Insulation,"KSh 1,171",,
249,MKBesign Sketchbag with Nairobi art,"KSh 1,650",,
250,Generic Portable Aluminum Alloy Classical Guitar Capo Toothed,KSh 984,,
251,Generic USB-C To USB 3.0 Adapter USB Type C Male To USB A Female,KSh 653,,
252,Generic Mini Fast Ratchet Wrench 1/4 Wind Head Screwdriver Rod 6.35 Fast And Simple Socket Wrench,KSh 869,,
253,Generic 5pcs Handheld Microphone Windscreens Mic Foam Covers,"KSh 1,046",,
254,Generic 5pcs Handheld Microphone Windscreens Mic Foam Covers.,"KSh 1,046",,
255,Generic SOLAR QUAD MONITORING LAMP,"KSh 1,140",,
256,Fashion Ishine Nail Polish,KSh 399,,
257,Jumia Books Science In The Soul : Selected Writings Of A Passionate Rationalist,"KSh 1,695",,
258,Generic Battery For IDeaPad  L12L4A02 L12M4E01 G400S,"KSh 3,599",,
259,Generic KW-trio Plastic Binder Ring,KSh 736,,
260,Generic Type-C To 3.5mm Earphone Adapter USB 3.1 Type-C Male To 3.5,KSh 622,,
261,Fashion Acne Soap - Herbal Extracts,KSh 399,,
262,"Generic ProBook 4525s Replacement Battery,","KSh 2,500",,
263,Generic PUBG Game Playerunknown's Battlegrounds Keychain Alloy,KSh 808,,
264,Generic Guitar Fretboard Note Stickers Note Decals Beginner Learner,KSh 912,,
265,"Natures Plus Source Of Life, Animal Parade, AcidophiKidz,","KSh 4,300",,
266,Source Naturals Mucuna Dopa,"KSh 4,600",,
267,Generic Battery For Inspiron N4010 3420 3520 N3010,"KSh 2,599",,
268,Generic 4Pcs Stick Wall Balls Sticky Ceiling Ball Target Ball,KSh 559,,
269,Generic 8Pcs Stick Wall Balls Sticky Target Ball Fluorescent,KSh 956,,
270,Generic 4Pcs Stick Wall Balls Sticky Target Ball Fluorescent,KSh 662,,
271,Generic N4010 Battery For Inspiron 3420 3520 N3010,"KSh 2,499",,
272,Generic Laptop Battery For Dell 14R N4010-148 N4010D,"KSh 2,499",,
273,"Generic Cutting Disc, For Glass / Stone, With Diamond",KSh 349,,
274,Generic Pets Christmas T-Shirt For Dogs Christmas Pet Clothes,KSh 839,,
